X,Y,fid,datahora,satelite,pais,estado,municipici,bioma,diasemchuv,precipitac,riscofogo,latitude,longitude,frp,icon_url
-64.2830017210611,-27.6810052793551,"1",2019/08/31 14:20:00,TERRA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.681,-64.283,5.7,./0.png
-64.216001713508,-27.6470052782721,"2",2019/08/31 14:20:00,TERRA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.647,-64.216,4.2,./0.png
-64.0770017018077,-27.8320052903824,"3",2019/08/31 18:40:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"0",0,0,-27.832,-64.077,28.1,./0.png
-64.3270017266636,-27.7440052823457,"4",2019/09/01 15:05:00,TERRA_M-T,Argentina,Santiago del Estero,Capital,,"0",0,0,-27.744,-64.327,52.5,./0.png
-64.3330017272452,-27.7410052821025,"5",2019/09/01 15:05:00,TERRA_M-T,Argentina,Santiago del Estero,Capital,,"0",0,0,-27.741,-64.333,45.1,./0.png
-63.9220016835935,-27.7070052852555,"6",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"0",0,0,-27.707,-63.922,56.7,./0.png
-63.9290016842979,-27.7050052850577,"7",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.705,-63.929,30.8,./0.png
-63.9060016818826,-27.7050052853373,"8",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"0",0,0,-27.705,-63.906,9.7,./0.png
-63.9130016826024,-27.7040052851959,"9",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"0",0,0,-27.704,-63.913,36.8,./0.png
-63.9230016835297,-27.6960052846236,"10",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.696,-63.923,6.4,./0.png
-64.2020017104258,-27.5430052725793,"11",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.543,-64.202,36.7,./0.png
-64.1960017097821,-27.5420052725966,"12",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.542,-64.196,33.5,./0.png
-64.2040017104494,-27.5310052718767,"13",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.531,-64.204,30,./0.png
-64.2550017155245,-27.5140052702879,"14",2019/09/01 17:45:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"0",0,0,-27.514,-64.255,33,./0.png
-64.4400017420194,-27.9640052932237,"15",2019/09/02 14:10:00,TERRA_M-T,Argentina,Santiago del Estero,Capital,,"0",0,0,-27.964,-64.44,10.8,./0.png
-64.5310017519267,-27.9860052932927,"16",2019/09/03 17:35:00,AQUA_M-T,Argentina,Santiago del Estero,Capital,,"0",0,0,-27.986,-64.531,38.1,./0.png
-64.5030017489553,-27.9840052935378,"17",2019/09/03 17:35:00,AQUA_M-T,Argentina,Santiago del Estero,Capital,,"0",0,0,-27.984,-64.503,171.2,./0.png
-63.9660016925547,-27.9870053004231,"18",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"2",0,0.95,-27.987,-63.966,5.1,./0.png
-64.4760017436978,-27.833005285459,"19",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Capital,,"2",0,0.94,-27.833,-64.476,5.7,./0.png
-64.4660017426173,-27.8310052854735,"20",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Capital,,"2",0,0.94,-27.831,-64.466,17.7,./0.png
-63.8750016800535,-27.7980052909473,"21",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Robles,,"2",0,0.95,-27.798,-63.875,6.1,./0.png
-64.3050017237592,-27.7060052804866,"22",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"2",0,0.95,-27.706,-64.305,5.5,./0.png
-64.241001712205,-27.3940052636664,"23",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"2",0,0.96,-27.394,-64.241,24.4,./0.png
-64.2310017111287,-27.3920052636756,"24",2019/07/27 18:10:00,AQUA_M-T,Argentina,Santiago del Estero,Banda,,"2",0,0.96,-27.392,-64.231,12.3,./0.png
-64.089001697899,-27.4980052714192,"25",2019/09/05 14:40:00,TERRA_M-T,Argentina,Santiago del Estero,Banda,,"18",0,1,-27.498,-64.089,7.9,./0.png
-64.0880016976408,-27.4880052708652,"26",2019/09/05 14:40:00,TERRA_M-T,Argentina,Santiago del Estero,Banda,,"18",0,1,-27.488,-64.088,14.1,./0.png
